date,volume,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,target,target_binary,sentiment_score,gdp%change,unemloyment_rate,fed_rate,cpi%change
2024-01-09,65931400,461.58221379075883,62.46719949922719,4.757424258657977,5.908318592951506,-1.150894334293529,472.41820743767505,463.6935073852539,454.96880733283274,buy,buy,-1.0,1.6,3.7,5.33,0.52461
2024-01-10,67310600,462.2994554042505,65.45928265592818,4.810485692949783,5.688752012951162,-0.8782663200013792,472.00087816867006,464.50244293212893,457.0040076955878,sell,sell,0.0,1.6,3.7,5.33,0.52461
2024-01-11,77940700,462.9287000951031,65.02185421964987,4.780746723093159,5.507150954979561,-0.7264042318864021,471.5320685174375,465.1976119995117,458.8631554815859,sell,sell,-0.8225,1.6,3.7,5.33,0.52461
2024-01-12,57944000,463.528952825071,65.4129593667696,4.728877809249298,5.351496325833509,-0.6226185165842111,471.89401282759786,465.59529266357424,459.2965724995506,sell,sell,-0.8808,1.6,3.7,5.33,0.52461
2024-01-16,85014900,463.90797612837525,61.48646779513277,4.496929554138035,5.180582971494414,-0.6836534173563793,472.0433374837617,465.83282165527345,459.6223058267852,buy,buy,-0.3612,1.6,3.7,5.33,0.52461
2024-01-17,68843900,464.0034073220642,56.023228974142135,4.056653439874424,4.955797065170416,-0.8991436252959923,471.95446410969265,465.97851104736327,460.0025579850339,buy,buy,0.0,1.6,3.7,5.33,0.52461
2024-01-18,91856200,464.48349634291674,61.83340908017454,3.995282868442473,4.763694225824828,-0.7684113573823552,472.284652280472,466.2009796142578,460.11730694804356,buy,buy,0.0,1.6,3.7,5.33,0.52461
2024-01-19,110733300,465.4747386461955,68.22707518672716,4.368113406902921,4.684578062040447,-0.3164646551375254,473.7342115729224,466.57454986572264,459.4148881585229,sell,sell,0.0,1.6,3.7,5.33,0.52461
2024-01-22,75844900,466.46720157181824,69.18178219975503,4.690533896674879,4.685769228967334,0.004764667707545023,475.0719159000705,467.32218170166016,459.5724475032498,buy,buy,0.0,1.6,3.7,5.33,0.52461
2024-01-23,49945300,467.49732602219564,70.50126229157597,5.0004055470905655,4.74869649259198,0.25170905449858516,476.7334129790586,467.9206787109375,459.10794444281646,sell,sell,0.0,1.6,3.7,5.33,0.52461
